instance,aga nd avg,aga nd stdev,adhoc nd avg,adhoc nd stdev,aga spread avg,aga spread stdev,adhoc spread avg,adhoc spread stdev,aga hv avg,aga hv stdev,adhoc hv avg,adhoc hv stdev,aga igd avg,aga igd stdev,adhoc igd avg,adhoc igd stdev
0 A.u_c_hihi,9.73333333333,0.679869268479,4.06666666667,1.41264134003 ,0.8415978,0.163423516141,0.850679166667,0.282706540801 ,0.312331115902,0.102153956626,0.00356624094995,0.0174470617249 ,0.0539149954238,0.0181465475238,0.154570720398,0.0241012085923
0 A.u_c_hilo,9.5,1.25830573921,4.6,1.2 ,0.9570348,0.140215258511,0.930370233333,0.207799610247 ,0.213964195116,0.12754539201,0.00219459470246,0.00897820876558 ,0.0591594915812,0.0235007049891,0.128640378114,0.0342186792888
0 A.u_c_lohi,8.9,1.24766448481,4.23333333333,1.05461946797 ,0.713881866667,0.157866054306,0.820562666667,0.282990837286 ,0.542404173631,0.0895405516821,0.180319536693,0.150810858008 ,0.0533616817893,0.0105257022104,0.100811425043,0.0247625073513
0 A.u_c_lolo,3.56666666667,1.11604460285,3.36666666667,1.07960898271 ,0.841358586207,0.108873936942,0.799312285714,0.13511119926 ,0.226290579246,0.136144486284,0.250089034285,0.188822367994 ,0.145365300719,0.0322322917131,0.147235256017,0.0473491946993
0 B.u_c_hihi,9.73333333333,0.573488351136,4.0,1.57056253192 ,0.9805917,0.145875077911,0.808617466667,0.33537848072 ,0.303928106263,0.133701538885,0.0529661536429,0.105209873644 ,0.0700930208673,0.028117234326,0.13299795769,0.0355622273853
0 B.u_c_hilo,8.73333333333,1.56914697279,4.56666666667,1.256538455 ,0.876624433333,0.178295497464,0.993490333333,0.299698054636 ,0.45679622113,0.133796797281,0.148914114818,0.159928649404 ,0.0508203943783,0.0143483129713,0.103004467699,0.0181961145534
0 B.u_c_lohi,9.1,1.55670592384,4.3,1.3699148392 ,0.964465133333,0.136587611544,0.906197533333,0.281018792083 ,0.19728390459,0.135318537432,0.0269453840879,0.0595606066568 ,0.0823362112418,0.0352634118269,0.137224561304,0.0360511700841
0 B.u_c_lolo,8.5,1.5,3.96666666667,0.982626864866 ,0.8043175,0.154719485668,0.916861766667,0.237369965961 ,0.284348001977,0.0791462381999,0.0236067553089,0.0492450390094 ,0.0468349267689,0.0125453843865,0.113713332605,0.0285172158631
6 A.u_c_hihi,9.76666666667,0.715697018453,4.1,1.19303534454 ,0.8919421,0.138767997046,0.855213466667,0.298227222646 ,0.413543544113,0.105036244173,0.0224018833884,0.0554827139102 ,0.0485763879632,0.0128417468734,0.122865415575,0.0367172540035
6 A.u_c_hilo,9.76666666667,0.667499479817,4.0,1.41421356237 ,0.944439566667,0.109610867695,0.823678966667,0.362717963501 ,0.356587916569,0.101207231867,0.0359578888971,0.0799349238584 ,0.0491917332382,0.0140448471308,0.129426218017,0.0308932474127
6 A.u_c_lohi,9.06666666667,0.99777530314,4.1,1.13578166916 ,0.723509566667,0.173878822811,0.741612066667,0.325320210201 ,0.513660077886,0.0503386867091,0.102314958427,0.0888662703457 ,0.026863844061,0.00508971773051,0.0799990721836,0.0141521814004
6 A.u_c_lolo,3.56666666667,1.20231258646,3.06666666667,0.99777530314 ,0.771800793103,0.135557871519,0.732304896552,0.18579294283 ,0.279187454466,0.125843018003,0.209334083117,0.1263013374 ,0.100472656538,0.0279643530845,0.111255184753,0.0374486636682
6 B.u_c_hihi,9.2,1.27540843131,4.13333333333,1.02415276638 ,0.8777107,0.120610882044,0.919511733333,0.229533865858 ,0.334369150879,0.12069837981,0.0204861561511,0.0488507319401 ,0.0579337569124,0.0200897877055,0.127712793346,0.0214557904712
6 B.u_c_hilo,8.63333333333,1.70261237188,3.9,1.39880901722 ,0.862284733333,0.188613181745,0.8753782,0.333814228632 ,0.331962273005,0.133718892992,0.06553907803,0.0971183011052 ,0.0759212746235,0.0282546109627,0.144375660152,0.0438517731398
6 B.u_c_lohi,9.86666666667,0.426874949162,4.53333333333,1.43139403691 ,0.898784633333,0.159268720625,0.9368419,0.333703970699 ,0.396689757671,0.069332987202,0.0406088916129,0.0807779681638 ,0.0390210489029,0.0112994603984,0.0997117776453,0.0267774187228
6 B.u_c_lolo,7.56666666667,1.8199511593,3.96666666667,1.01598337694 ,0.748222266667,0.190613473002,0.8015942,0.254083723686 ,0.255641876254,0.0899050624371,0.0271811171626,0.0530276751975 ,0.0521599284521,0.0162400141553,0.106838193976,0.0341844728664
11 A.u_c_hihi,9.76666666667,0.558768487141,3.83333333333,1.31866936299 ,0.983570066667,0.103944296481,0.896745266667,0.260928780427 ,0.336554925454,0.123575245858,0.147172888726,0.124322624541 ,0.0613192125856,0.0229403903466,0.0970022285507,0.025048195173
11 A.u_c_hilo,8.73333333333,2.18987569409,4.13333333333,1.38403596614 ,0.9664902,0.124247189071,0.8619503,0.269020073305 ,0.117326943505,0.17853349612,0.0140835980875,0.0437997582309 ,0.186603239786,0.0809427976553,0.335429176206,0.108969726116
11 A.u_c_lohi,7.16666666667,1.46249406457,4.2,1.04562580942 ,0.734853233333,0.138423426696,0.8138669,0.154649121302 ,0.36589272991,0.126660149492,0.174800590683,0.145571184667 ,0.0648698526811,0.0199985729006,0.0996135189452,0.0296646602917
