Computed PF file: mls-eval-d200-c15/mls-eval-d200-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=910]
115.7010 46.2000 6.4000
50.9877 28.6000 2.2000
69.3232 35.6000 3.4000
138.2320 47.4000 7.8000
37.2390 21.6000 1.4000
43.5510 25.2000 1.8000
69.7806 36.0000 3.4000
50.7291 28.2000 2.2000
97.4343 42.2000 5.2000
40.4834 24.6000 1.6000
109.7360 45.2000 6.0000
34.7760 21.4000 1.2000
31.3096 20.8000 1.0000
162.6280 48.8000 9.4000
153.8860 48.4000 8.8000
94.4309 41.8000 5.0000
79.3760 38.6000 4.0000
28.0911 18.2000 0.8000
47.4403 27.8000 2.0000
46.7520 26.6000 2.0000
100.6450 42.6000 5.4000
137.9360 46.8000 7.8000
104.1010 43.4000 5.6000
94.3069 41.2000 5.0000
144.2380 48.2000 8.2000
103.7440 42.8000 5.6000
56.1444 32.4000 2.6000
59.3370 32.6000 2.8000
50.8948 28.4000 2.2000
106.9940 44.8000 5.8000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
18.5805 15.2000 0.2000
43.5733 24.8000 1.8000
84.8225 38.2000 4.4000
107.0070 44.8000 5.8000
47.4403 27.8000 2.0000
100.3760 42.8000 5.4000
50.7565 28.2000 2.2000
28.0911 18.2000 0.8000
143.9550 48.6000 8.2000
56.1444 32.4000 2.6000
81.8585 37.8000 4.2000
113.6380 45.2000 6.2000
140.1720 47.8000 8.0000
138.2320 47.4000 7.8000
159.1010 48.8000 9.2000
97.6351 41.8000 5.2000
78.7233 37.4000 4.0000
122.7030 46.6000 6.8000
100.5360 43.0000 5.4000
37.2390 21.6000 1.4000
106.9660 44.0000 5.8000
31.3096 20.8000 1.0000
40.4834 24.6000 1.6000
43.6441 25.8000 1.8000
63.0917 36.0000 3.0000
50.9002 28.4000 2.2000
44.1885 26.6000 1.8000
56.7458 34.2000 2.6000
141.7520 48.4000 8.0000
37.5259 23.0000 1.4000
59.9246 34.4000 2.8000
28.4063 19.0000 0.8000
91.4733 40.0000 4.8000
162.9470 49.0000 9.4000
94.4799 40.8000 5.0000
103.7410 43.6000 5.6000
40.3902 24.0000 1.6000
34.7760 21.4000 1.2000
138.0250 47.0000 7.8000
53.7375 32.0000 2.4000
75.4588 37.0000 3.8000
62.8864 34.4000 3.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
113.7030 46.2000 6.2000
137.0070 46.6000 7.8000
50.9002 28.4000 2.2000
18.5805 15.2000 0.2000
46.7704 27.2000 2.0000
69.5104 34.8000 3.4000
110.1600 44.8000 6.0000
74.4858 35.4000 3.8000
56.1115 31.0000 2.6000
50.0418 27.6000 2.2000
100.3830 42.8000 5.4000
59.5825 34.2000 2.8000
43.6441 25.8000 1.8000
59.3370 32.6000 2.8000
56.1444 32.4000 2.6000
91.4733 40.0000 4.8000
34.7760 21.4000 1.2000
37.5259 23.0000 1.4000
94.3069 41.2000 5.0000
40.4834 24.6000 1.6000
97.8671 42.0000 5.2000
56.1292 31.8000 2.6000
46.7251 26.0000 2.0000
94.3508 41.8000 5.0000
28.4063 19.0000 0.8000
138.2880 48.2000 7.8000
72.2490 35.0000 3.6000
28.0911 18.2000 0.8000
161.6140 48.8000 9.4000
50.8073 28.2000 2.2000
37.2606 22.0000 1.4000
141.4020 48.4000 8.0000
170.9220 49.0000 10.0000
69.1280 34.6000 3.4000
31.3096 20.8000 1.0000
100.4280 44.0000 5.4000
40.3726 24.0000 1.6000
50.9877 28.6000 2.2000
77.8929 37.2000 4.0000
43.5510 25.2000 1.8000
110.1690 45.2000 6.0000
79.3760 38.6000 4.0000
84.9138 38.6000 4.4000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
74.6637 35.6000 3.8000
21.7361 16.6000 0.4000
37.3603 21.6000 1.4000
94.4445 41.8000 5.0000
59.5825 34.2000 2.8000
151.3610 48.8000 8.6000
66.0543 34.8000 3.2000
18.5805 15.2000 0.2000
31.3096 20.8000 1.0000
41.2151 26.4000 1.6000
75.6715 37.4000 3.8000
134.2290 47.0000 7.6000
34.7760 21.4000 1.2000
141.5140 48.0000 8.0000
150.0210 48.2000 8.6000
37.5259 23.0000 1.4000
110.2040 44.6000 6.0000
113.7030 46.2000 6.2000
110.2470 45.0000 6.0000
56.1115 31.0000 2.6000
71.4899 35.2000 3.6000
28.0911 18.2000 0.8000
138.2320 47.4000 7.8000
100.4230 43.6000 5.4000
91.4733 40.0000 4.8000
40.4834 24.6000 1.6000
72.3228 35.4000 3.6000
87.8464 38.8000 4.6000
40.1959 23.8000 1.6000
137.4330 47.2000 7.8000
78.4626 38.4000 4.0000
100.3760 42.8000 5.4000
106.7640 44.0000 5.8000
28.4063 19.0000 0.8000
113.3170 45.6000 6.2000
75.5520 37.0000 3.8000
50.7798 28.4000 2.2000
77.8929 37.6000 4.0000
50.0418 27.6000 2.2000
62.8864 34.4000 3.0000
166.8880 49.0000 9.8000
50.9309 28.6000 2.2000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
167.8460 49.0000 9.8000
21.7361 16.6000 0.4000
97.5848 41.2000 5.2000
100.3250 42.0000 5.4000
18.5805 15.2000 0.2000
94.4144 40.6000 5.0000
59.5825 34.2000 2.8000
37.5259 23.0000 1.4000
28.4063 19.0000 0.8000
69.7759 36.4000 3.4000
43.5871 24.8000 1.8000
113.6640 45.8000 6.2000
100.3760 42.8000 5.4000
40.3651 24.0000 1.6000
34.7760 21.4000 1.2000
56.1115 31.0000 2.6000
141.7520 48.4000 8.0000
37.2390 21.6000 1.4000
75.9186 36.8000 3.8000
135.0450 46.6000 7.6000
152.3980 48.6000 8.8000
50.7739 28.4000 2.2000
40.4834 24.6000 1.6000
97.5079 41.0000 5.2000
31.3096 20.8000 1.0000
43.6441 25.8000 1.8000
59.3401 32.6000 2.8000
159.3090 48.8000 9.2000
75.9965 37.0000 3.8000
97.6095 41.8000 5.2000
76.3094 38.2000 3.8000
47.4403 27.8000 2.0000
28.0911 18.2000 0.8000
44.2022 26.6000 1.8000
106.9940 44.8000 5.8000
59.9384 34.4000 2.8000
100.4800 44.0000 5.4000
110.7020 45.0000 6.0000
93.9290 39.4000 5.0000
79.6121 38.6000 4.0000
131.4590 46.0000 7.4000
100.3870 43.8000 5.4000
138.2640 47.8000 7.8000
63.0917 36.0000 3.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
37.2390 21.6000 1.4000
21.7361 16.6000 0.4000
50.8683 28.4000 2.2000
90.8939 39.4000 4.8000
31.3096 20.8000 1.0000
18.5805 15.2000 0.2000
69.2972 36.2000 3.4000
147.5300 48.2000 8.4000
149.9640 48.4000 8.6000
100.4450 44.0000 5.4000
59.5825 34.2000 2.8000
137.5700 46.2000 7.8000
109.7360 45.2000 6.0000
69.7759 36.4000 3.4000
100.3360 43.8000 5.4000
46.7251 26.0000 2.0000
62.8977 34.6000 3.0000
97.0478 43.2000 5.2000
43.6441 25.8000 1.8000
37.5259 23.0000 1.4000
50.7291 28.2000 2.2000
75.9036 36.8000 3.8000
94.3486 40.2000 5.0000
168.3230 49.0000 9.8000
137.9590 47.6000 7.8000
43.5871 24.8000 1.8000
94.0890 40.0000 5.0000
40.4834 24.6000 1.6000
47.1352 26.4000 2.0000
28.4063 19.0000 0.8000
141.5140 48.0000 8.0000
79.3760 38.6000 4.0000
50.0418 27.6000 2.2000
116.1440 46.0000 6.4000
56.0984 31.0000 2.6000
103.8530 44.6000 5.6000
28.0911 18.2000 0.8000
75.9965 37.0000 3.8000
78.5361 37.2000 4.0000
34.7339 21.4000 1.2000
56.1562 32.4000 2.6000
94.0543 39.8000 5.0000
153.3350 48.6000 8.8000
159.6230 48.8000 9.2000
23.5716 17.2000 0.5000
131.8160 47.2000 7.4000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
