INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_hilo|2048|64|365828.562500|66234.000000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_lohi|2048|64|320.940002|64353.191406
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_lolo|2048|64|32.270000|66339.718750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_hihi|2048|64|11245679.000000|193749.640625
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_hilo|2048|64|1042948.500000|186462.953125
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_lohi|2048|64|1055.990112|190598.421875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_lolo|2048|64|114.629990|182335.453125
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_hihi|2048|64|5564664.000000|490757.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_hilo|2048|64|59352.761719|502608.625000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_lohi|2048|64|190842.359375|501532.125000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_lolo|2048|64|1927.729858|491981.781250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_hihi|2048|64|929295.812500|66703.359375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_hilo|2048|64|10318.419922|66028.609375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_lohi|2048|64|34071.039062|66557.929688
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_lolo|2048|64|355.739990|65455.996094
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_hihi|2048|64|3293157.000000|184955.125000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_hilo|2048|64|33445.421875|196639.343750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_lohi|2048|64|111237.343750|193382.375000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_lolo|2048|64|1163.849854|190907.453125



INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_hihi|4096|128|16711134.000000|1720680.250000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_hilo|4096|128|1649763.500000|1740723.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_lohi|4096|128|1635.319946|1713142.500000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_lolo|4096|128|166.930008|1760523.875000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_hihi|4096|128|1804879.750000|135931.906250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_hilo|4096|128|174786.781250|132281.578125
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_lohi|4096|128|207.309998|132001.468750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_lolo|4096|128|17.340000|133439.718750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_hihi|4096|128|8959706.000000|594987.937500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_hilo|4096|128|931062.312500|589292.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_lohi|4096|128|922.750122|557792.437500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_lolo|4096|128|94.990005|575362.062500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_hihi|4096|128|5059571.500000|1737325.125000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_hilo|4096|128|49301.191406|1757003.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_lohi|4096|128|169495.328125|1691406.875000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_lolo|4096|128|1662.349854|1704804.875000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_hihi|4096|128|527200.500000|135216.593750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_hilo|4096|128|5149.649902|135240.859375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_lohi|4096|128|17184.160156|134044.531250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_lolo|4096|128|185.049988|135327.000000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_hihi|4096|128|2761326.000000|604295.062500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_hilo|4096|128|28607.539062|583591.562500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_lohi|4096|128|91651.734375|572563.687500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_lolo|4096|128|928.459900|575708.312500
