INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_hilo|2048|64|315267.500000|75053.070312
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_lohi|2048|64|312.549988|72337.257812
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_i_lolo|2048|64|29.490002|74810.414062
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_hihi|2048|64|13890956.000000|98696.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_hilo|2048|64|1307394.250000|99043.867188
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_lohi|2048|64|1354.100098|100929.835938
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//A.u_s_lolo|2048|64|142.330017|98687.343750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_hihi|2048|64|7560320.500000|195709.171875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_hilo|2048|64|79079.218750|206282.781250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_lohi|2048|64|254098.375000|197438.015625
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_c_lolo|2048|64|2613.829346|204237.343750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_hihi|2048|64|879421.312500|74229.195312
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_hilo|2048|64|9047.649414|74642.367188
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_lohi|2048|64|32073.607422|75889.296875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_i_lolo|2048|64|299.440002|74009.914062
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_hihi|2048|64|4121618.500000|96604.906250
