Computed PF file: mls-eval-d100-c15/mls-eval-d100-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=545]
75.7792 17.2000 3.9000
133.2600 20.8000 9.2000
74.2332 16.6000 4.0000
148.7460 22.8000 9.8000
88.8741 18.0000 4.8000
84.0652 17.6000 4.6000
89.4814 18.2000 4.8000
110.6550 20.0000 6.4000
71.5066 16.4000 3.8000
104.5000 19.8000 5.8000
101.4450 19.6000 5.6000
135.8400 21.6000 9.4000
68.8161 15.6000 3.6000
95.9341 18.6000 5.4000
140.5310 21.0000 9.2000
68.6458 15.4000 3.4000
82.6024 17.4000 4.6000
90.9487 18.4000 5.0000
177.2150 24.0000 11.6000
154.9390 23.8000 10.4000
148.9080 23.0000 10.0000
140.2330 22.6000 9.6000
86.7910 17.8000 4.8000
133.8500 20.8000 9.0000
116.8630 20.2000 6.8000
100.8730 19.2000 5.8000
148.9160 23.0000 10.2000
75.7792 17.2000 3.9000
177.9990 24.0000 11.6000
88.6460 17.8000 4.8000
138.5260 22.0000 9.2000
110.7490 20.0000 6.4000
103.6720 19.6000 5.8000
153.9550 23.8000 10.4000
89.4814 18.2000 4.8000
145.0460 22.4000 9.8000
132.5470 20.2000 9.0000
136.7950 21.2000 9.0000
97.3116 19.4000 5.4000
68.8696 16.4000 3.4000
90.9487 18.4000 5.0000
150.2480 22.6000 9.8000
86.5521 17.6000 4.6000
145.4810 22.2000 9.6000
107.5450 19.8000 6.2000
145.4870 22.8000 10.0000
149.4170 23.0000 10.0000
149.4390 23.4000 10.0000
85.0744 17.4000 4.8000
88.8741 18.0000 4.8000
68.6568 15.4000 3.4000
95.9341 18.6000 5.4000
68.8161 15.6000 3.6000
134.1300 20.8000 9.0000
137.9780 20.2000 8.2000
71.7888 16.8000 3.6000
155.1090 23.8000 10.4000
75.7792 17.2000 3.9000
104.5000 19.8000 5.8000
133.1020 20.8000 10.2000
88.8741 18.0000 4.8000
68.8319 16.4000 3.4000
101.5700 19.6000 5.6000
133.2600 20.8000 9.2000
85.6193 17.6000 4.6000
