Computed PF file: mls-eval-d200-c10/mls-eval-d200-c10
Num. executions : 20
Min. coverage   : 10.0

Computed PF [count=883]
15.1551 11.0000 0.0000
50.5803 27.8000 2.2000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
141.7910 48.2000 8.0000
166.5210 48.8000 9.6000
97.6546 41.6000 5.2000
59.5825 34.2000 2.8000
93.9290 39.4000 5.0000
18.4326 13.8000 0.2000
50.8073 28.2000 2.2000
132.7500 47.6000 7.4000
37.2390 21.6000 1.4000
28.4063 19.0000 0.8000
28.0911 18.2000 0.8000
34.7339 21.4000 1.2000
107.0390 45.0000 5.8000
84.7847 38.2000 4.4000
21.3109 16.6000 0.4000
50.0471 27.6000 2.2000
138.0740 47.8000 7.8000
146.5390 48.4000 8.4000
56.2767 31.0000 2.6000
37.5259 23.0000 1.4000
43.6441 25.8000 1.8000
21.7581 16.8000 0.4000
100.3890 43.8000 5.4000
50.9002 28.4000 2.2000
100.4280 44.0000 5.4000
31.3096 20.8000 1.0000
63.3951 35.2000 3.0000
210.7330 49.0000 12.8000
59.3232 32.6000 2.8000
132.4410 45.8000 7.4000
40.4834 24.6000 1.6000
18.5539 15.2000 0.2000
129.1430 45.2000 7.2000
84.9329 38.6000 4.4000
40.1959 23.8000 1.6000
84.7419 38.0000 4.4000
97.7163 41.8000 5.2000
44.2022 26.6000 1.8000
72.3228 35.4000 3.6000
43.5333 25.2000 1.8000
77.8929 37.6000 4.0000
150.4500 48.4000 8.6000
15.1551 11.0000 0.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
40.4849 24.6000 1.6000
40.4004 24.4000 1.6000
75.7118 36.8000 3.8000
18.5539 15.2000 0.2000
59.5825 34.2000 2.8000
69.1358 34.6000 3.4000
31.4483 20.6000 1.0000
21.3109 16.6000 0.4000
100.4800 44.0000 5.4000
28.4063 19.0000 0.8000
113.1390 45.8000 6.2000
56.0984 31.0000 2.6000
144.1170 48.2000 8.2000
21.7581 16.8000 0.4000
141.2830 47.8000 8.0000
50.0471 27.6000 2.2000
37.5259 23.0000 1.4000
50.0446 26.8000 2.2000
31.4541 20.8000 1.0000
141.5140 48.0000 8.0000
72.3363 35.4000 3.6000
110.1500 44.8000 6.0000
28.0911 18.2000 0.8000
155.9480 48.6000 9.0000
94.3065 40.6000 5.0000
113.7030 46.2000 6.2000
72.3106 35.0000 3.6000
34.8562 21.2000 1.2000
41.0964 26.4000 1.6000
94.1536 40.0000 5.0000
72.2136 34.8000 3.6000
50.7798 28.4000 2.2000
56.7244 31.4000 2.6000
84.9595 38.6000 4.4000
37.2323 21.6000 1.4000
84.9303 37.8000 4.4000
110.7010 45.0000 6.0000
18.2624 14.6000 0.2000
94.4891 41.8000 5.0000
160.3220 49.0000 9.2000
131.8160 47.2000 7.4000
28.0911 18.2000 0.8000
15.1551 11.0000 0.0000
37.2390 21.6000 1.4000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
84.6918 38.0000 4.4000
18.5539 15.2000 0.2000
59.5825 34.2000 2.8000
40.4834 24.6000 1.6000
31.3096 20.8000 1.0000
110.7880 44.2000 6.0000
21.7581 16.8000 0.4000
69.5994 34.8000 3.4000
97.9631 41.8000 5.2000
72.2490 35.0000 3.6000
56.2639 31.0000 2.6000
59.5471 33.8000 2.8000
75.8194 36.4000 3.8000
18.2624 14.6000 0.2000
50.0408 27.6000 2.2000
112.7870 45.2000 6.2000
113.7030 46.2000 6.2000
163.1820 49.0000 9.4000
100.4280 44.0000 5.4000
84.6859 36.8000 4.4000
162.5160 48.6000 9.4000
97.1844 39.6000 5.2000
141.4730 47.2000 8.0000
21.3109 16.6000 0.4000
28.4063 19.0000 0.8000
43.5988 24.8000 1.8000
95.9610 39.2000 5.2000
69.0335 34.6000 3.4000
50.9877 28.6000 2.2000
40.4560 23.2000 1.6000
37.5259 23.0000 1.4000
43.6698 25.8000 1.8000
44.2389 26.6000 1.8000
138.6380 46.8000 7.8000
142.0060 47.8000 8.0000
84.9595 38.6000 4.4000
134.8380 46.6000 7.6000
56.7244 31.4000 2.6000
46.7913 27.0000 2.0000
50.7739 28.4000 2.2000
34.7760 21.4000 1.2000
151.0090 48.4000 8.6000
15.1551 11.0000 0.0000
23.5716 17.2000 0.5000
50.0418 27.6000 2.2000
51.7690 30.8000 2.3000
40.4834 24.6000 1.6000
100.3580 43.8000 5.4000
21.7361 16.6000 0.4000
88.1732 39.0000 4.6000
18.2624 14.6000 0.2000
103.5160 44.4000 5.6000
100.4280 44.0000 5.4000
72.3106 35.0000 3.6000
84.8674 38.4000 4.4000
46.7913 27.0000 2.0000
97.6546 41.6000 5.2000
28.0911 18.2000 0.8000
69.1412 34.6000 3.4000
91.5188 39.8000 4.8000
41.2408 26.4000 1.6000
56.1115 31.0000 2.6000
94.2174 40.0000 5.0000
131.2020 46.6000 7.4000
37.2323 21.6000 1.4000
85.0796 38.6000 4.4000
69.3084 34.8000 3.4000
50.7739 28.4000 2.2000
37.5259 23.0000 1.4000
97.7163 41.8000 5.2000
141.5380 48.8000 8.0000
18.5539 15.2000 0.2000
138.2500 47.4000 7.8000
100.0090 42.0000 5.4000
72.4189 35.4000 3.6000
113.3070 46.0000 6.2000
21.7581 16.8000 0.4000
81.9419 38.0000 4.2000
73.1909 35.6000 3.6000
28.4063 19.0000 0.8000
110.3170 45.0000 6.0000
56.7458 34.2000 2.6000
75.2037 36.8000 3.8000
31.3096 20.8000 1.0000
40.3726 24.0000 1.6000
100.3710 42.0000 5.4000
15.1551 11.0000 0.0000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
43.5871 24.8000 1.8000
84.5247 38.0000 4.4000
46.7567 27.2000 2.0000
103.7760 43.8000 5.6000
18.5539 15.2000 0.2000
31.3096 20.8000 1.0000
43.6441 25.8000 1.8000
37.1610 21.0000 1.4000
50.2810 27.6000 2.2000
37.5259 23.0000 1.4000
162.8110 49.0000 9.4000
107.0320 45.0000 5.8000
40.4834 24.6000 1.6000
150.0210 48.2000 8.6000
113.7030 46.2000 6.2000
59.9384 34.4000 2.8000
131.8160 47.2000 7.4000
103.5910 43.0000 5.6000
40.3902 24.0000 1.6000
106.3730 44.0000 5.8000
156.2430 48.8000 9.0000
56.2639 31.0000 2.6000
141.5140 48.0000 8.0000
94.2986 39.0000 5.0000
28.4063 19.0000 0.8000
59.5636 34.2000 2.8000
72.2981 35.0000 3.6000
28.0911 18.2000 0.8000
21.7611 16.8000 0.4000
72.7238 36.4000 3.6000
97.6095 41.8000 5.2000
18.2624 14.6000 0.2000
50.9877 28.6000 2.2000
50.7739 28.4000 2.2000
21.3109 16.6000 0.4000
44.2022 26.6000 1.8000
59.3232 32.6000 2.8000
112.9010 45.2000 6.2000
72.1964 34.8000 3.6000
88.1344 38.2000 4.6000
37.2323 21.6000 1.4000
72.3900 35.4000 3.6000
103.7550 43.4000 5.6000
72.6807 36.0000 3.6000
97.5441 41.6000 5.2000
155.9530 48.4000 9.0000
63.2061 34.6000 3.0000
47.1231 26.4000 2.0000
15.1551 11.0000 0.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
100.3580 43.8000 5.4000
37.5259 23.0000 1.4000
79.0948 38.2000 4.0000
28.4005 19.0000 0.8000
40.1959 23.8000 1.6000
50.8347 28.2000 2.2000
46.7251 26.0000 2.0000
59.5825 34.2000 2.8000
40.3726 24.0000 1.6000
72.7205 36.4000 3.6000
100.3250 42.0000 5.4000
113.7030 46.2000 6.2000
63.2061 34.6000 3.0000
43.6532 25.8000 1.8000
69.5034 34.8000 3.4000
72.6860 36.0000 3.6000
50.9002 28.4000 2.2000
43.5988 24.8000 1.8000
159.0870 48.8000 9.2000
110.2520 44.8000 6.0000
170.3920 49.0000 10.0000
134.9950 47.4000 7.6000
37.2390 21.6000 1.4000
50.0471 27.6000 2.2000
31.3096 20.8000 1.0000
21.7611 16.8000 0.4000
144.0750 48.4000 8.2000
122.7030 46.6000 6.8000
28.0911 18.2000 0.8000
18.5539 15.2000 0.2000
100.4240 44.0000 5.4000
56.1562 32.4000 2.6000
40.4834 24.6000 1.6000
140.8270 47.8000 8.0000
97.9631 41.8000 5.2000
103.5330 44.4000 5.6000
91.6117 40.0000 4.8000
72.2981 35.0000 3.6000
141.5140 48.0000 8.0000
21.7045 16.6000 0.4000
18.2624 14.6000 0.2000
91.3743 39.2000 4.8000
34.7760 21.4000 1.2000
110.6640 45.8000 6.0000
77.8725 37.2000 4.0000
94.3632 41.6000 5.0000
23.5716 17.2000 0.5000
59.5772 34.2000 2.8000
15.1551 11.0000 0.0000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
18.5539 15.2000 0.2000
50.8073 28.2000 2.2000
141.5140 48.0000 8.0000
43.6532 25.8000 1.8000
46.7512 26.0000 2.0000
21.7581 16.8000 0.4000
59.3080 32.0000 2.8000
100.4150 44.0000 5.4000
40.4924 24.6000 1.6000
47.1794 26.4000 2.0000
160.0250 49.0000 9.2000
43.3585 24.8000 1.8000
138.3980 47.8000 7.8000
91.0614 39.4000 4.8000
135.1020 47.2000 7.6000
50.0375 27.6000 2.2000
50.8150 28.4000 2.2000
31.3096 20.8000 1.0000
100.3580 43.8000 5.4000
69.2097 34.6000 3.4000
69.5104 34.8000 3.4000
28.0839 18.2000 0.8000
56.1292 31.8000 2.6000
34.7760 21.4000 1.2000
75.9965 37.0000 3.8000
28.4063 19.0000 0.8000
18.2624 14.6000 0.2000
31.1759 19.2000 1.0000
107.1670 45.2000 5.8000
34.6185 21.0000 1.2000
100.2870 42.0000 5.4000
37.1614 21.6000 1.4000
91.5188 39.8000 4.8000
87.8573 39.2000 4.6000
37.5259 23.0000 1.4000
94.1824 41.2000 5.0000
147.9600 48.2000 8.4000
84.9093 38.2000 4.4000
134.9900 46.8000 7.6000
116.5840 46.4000 6.4000
72.3440 35.4000 3.6000
135.9740 46.8000 7.6000
23.5716 17.2000 0.5000
15.1551 11.0000 0.0000
51.7690 30.8000 2.3000
46.7913 27.0000 2.0000
50.9877 28.6000 2.2000
43.5988 24.8000 1.8000
18.2624 14.6000 0.2000
31.4541 20.8000 1.0000
37.5259 23.0000 1.4000
59.5825 34.2000 2.8000
69.2097 34.6000 3.4000
150.0210 48.2000 8.6000
18.5539 15.2000 0.2000
94.3696 41.6000 5.0000
50.7739 28.4000 2.2000
125.3540 45.4000 7.0000
58.5192 31.8000 2.8000
21.7611 16.8000 0.4000
138.2500 47.4000 7.8000
40.1959 23.8000 1.6000
138.5480 47.8000 7.8000
21.3109 16.6000 0.4000
134.4230 46.2000 7.6000
40.4834 24.6000 1.6000
43.6789 25.8000 1.8000
106.2270 44.0000 5.8000
28.4063 19.0000 0.8000
94.1907 39.0000 5.0000
106.9850 44.4000 5.8000
168.3090 49.0000 9.8000
56.1115 31.0000 2.6000
99.9572 42.0000 5.4000
75.4863 37.0000 3.8000
104.0960 43.6000 5.6000
47.3733 27.8000 2.0000
