Computed PF file: mls-eval-d100-c10/mls-eval-d100-c10
Num. executions : 20
Min. coverage   : 10.0

Computed PF [count=694]
43.7294 12.2000 1.9000
154.4680 22.8000 10.4000
75.7792 17.2000 3.9000
160.2430 23.2000 10.6000
113.8670 20.0000 6.4000
102.9690 18.6000 5.8000
85.7323 17.4000 4.8000
107.8280 19.8000 6.2000
118.4570 20.2000 7.0000
141.5330 21.6000 9.4000
149.5460 21.8000 10.2000
140.1690 21.2000 9.4000
71.8066 16.4000 3.6000
173.8080 23.6000 11.4000
71.9971 16.8000 3.6000
89.1282 18.0000 4.8000
29.9980 10.4000 1.0000
63.1867 15.0000 3.2000
135.6420 20.8000 9.0000
150.1300 22.6000 10.0000
181.4240 24.0000 11.8000
100.0670 18.4000 5.6000
34.6350 11.0000 1.2000
62.8827 14.4000 3.0000
107.7590 19.0000 6.0000
88.3744 17.6000 4.8000
55.1912 13.6000 2.6000
68.6606 15.4000 3.4000
90.9946 18.2000 5.0000
49.6095 12.6000 2.2000
140.6100 21.4000 9.2000
156.1650 23.0000 10.4000
53.9041 12.8000 2.4000
68.8848 15.6000 3.6000
42.9489 11.2000 1.8000
43.7294 12.2000 1.9000
154.4680 22.8000 10.4000
75.7792 17.2000 3.9000
160.2430 23.2000 10.6000
113.8670 20.0000 6.4000
102.9690 18.6000 5.8000
85.7323 17.4000 4.8000
107.8280 19.8000 6.2000
118.4570 20.2000 7.0000
141.5330 21.6000 9.4000
149.5460 21.8000 10.2000
140.1690 21.2000 9.4000
71.8066 16.4000 3.6000
173.8080 23.6000 11.4000
71.9971 16.8000 3.6000
89.1282 18.0000 4.8000
29.9980 10.4000 1.0000
63.1867 15.0000 3.2000
135.6420 20.8000 9.0000
150.1300 22.6000 10.0000
181.4240 24.0000 11.8000
100.0670 18.4000 5.6000
34.6350 11.0000 1.2000
62.8827 14.4000 3.0000
107.7590 19.0000 6.0000
88.3744 17.6000 4.8000
55.1912 13.6000 2.6000
68.6606 15.4000 3.4000
90.9946 18.2000 5.0000
49.6095 12.6000 2.2000
140.6100 21.4000 9.2000
156.1650 23.0000 10.4000
53.9041 12.8000 2.4000
68.8848 15.6000 3.6000
42.9489 11.2000 1.8000
43.7294 12.2000 1.9000
68.8161 15.6000 3.6000
94.3549 18.4000 5.2000
75.7792 17.2000 3.9000
157.1630 22.8000 10.6000
110.2320 20.0000 6.4000
107.6980 19.8000 6.2000
135.3300 20.2000 8.8000
139.1330 21.2000 9.4000
43.0000 11.2000 1.8000
170.1760 23.8000 11.2000
109.1510 19.4000 6.0000
155.8690 22.6000 10.2000
30.0250 10.4000 1.0000
75.6924 16.4000 4.0000
157.3220 23.0000 10.4000
34.6350 11.0000 1.2000
135.6590 20.8000 9.0000
90.4886 18.2000 5.0000
144.5050 22.0000 9.6000
160.2980 23.2000 10.6000
54.0412 12.8000 2.4000
141.5500 21.6000 9.4000
55.6662 13.2000 2.6000
62.6749 15.0000 3.2000
150.5560 22.4000 10.0000
84.0652 17.6000 4.6000
62.7121 14.4000 3.0000
68.6606 15.4000 3.4000
49.6606 12.6000 2.2000
89.1436 18.0000 4.8000
58.3053 13.6000 2.8000
236.1810 24.0000 18.6000
43.7294 12.2000 1.9000
43.1456 11.2000 1.8000
75.7792 17.2000 3.9000
53.8552 12.8000 2.4000
30.0273 10.4000 1.0000
34.6350 11.0000 1.2000
63.4547 15.0000 3.2000
54.6917 13.8000 2.6000
159.1540 23.2000 10.4000
49.6247 12.6000 2.2000
62.8847 14.4000 3.0000
97.4054 18.6000 5.6000
177.7540 24.0000 11.6000
68.7935 15.6000 3.6000
157.0580 23.0000 10.4000
105.9500 18.8000 6.0000
174.4150 23.4000 11.4000
88.3605 17.6000 4.8000
107.7170 19.8000 6.2000
68.6606 15.4000 3.4000
107.2330 19.0000 6.0000
89.1282 18.0000 4.8000
135.6380 20.8000 9.0000
113.8670 20.0000 6.4000
118.0150 20.2000 7.0000
150.8790 21.8000 10.2000
85.7323 17.4000 4.8000
143.2820 21.6000 9.4000
90.7326 18.2000 5.0000
