Computed PF file: mls-eval-d200-c20/mls-eval-d200-c20
Num. executions : 20
Min. coverage   : 20.0

Computed PF [count=864]
107.0270 44.8000 5.8000
40.3574 24.4000 1.6000
51.7690 30.8000 2.3000
47.1794 26.4000 2.0000
59.3264 32.6000 2.8000
93.9290 39.4000 5.0000
91.7501 38.8000 4.8000
56.1476 32.4000 2.6000
78.8423 38.4000 4.0000
40.4834 24.6000 1.6000
160.3040 49.0000 9.2000
43.5213 25.6000 1.8000
59.4531 32.8000 2.8000
94.0781 40.0000 5.0000
65.3085 36.0000 3.2000
134.9170 46.8000 7.6000
47.3695 28.8000 2.0000
59.5490 33.8000 2.8000
31.3096 20.8000 1.0000
100.4370 42.0000 5.4000
37.1374 22.0000 1.4000
56.1292 31.8000 2.6000
34.7760 21.4000 1.2000
66.5447 37.2000 3.2000
128.8790 46.4000 7.2000
62.5342 34.6000 3.0000
46.7251 26.0000 2.0000
56.1115 31.0000 2.6000
139.2700 48.4000 7.8000
40.1793 23.8000 1.6000
100.4800 44.0000 5.4000
135.1770 47.4000 7.6000
37.5259 23.0000 1.4000
43.3585 24.8000 1.8000
138.5150 47.8000 7.8000
59.5702 34.2000 2.8000
85.0796 38.6000 4.4000
37.1342 21.6000 1.4000
103.5060 44.4000 5.6000
59.9246 34.4000 2.8000
110.4960 45.8000 6.0000
43.5953 25.8000 1.8000
94.4309 41.8000 5.0000
107.1360 45.0000 5.8000
31.5028 20.8000 1.0000
51.7690 30.8000 2.3000
59.9246 34.4000 2.8000
37.1254 22.0000 1.4000
37.5259 23.0000 1.4000
131.5060 46.6000 7.4000
47.4455 28.8000 2.0000
100.4310 44.0000 5.4000
34.7760 21.4000 1.2000
103.5070 44.4000 5.6000
79.1737 38.4000 4.0000
97.8585 42.0000 5.2000
37.2213 22.2000 1.4000
40.4834 24.6000 1.6000
141.5140 48.0000 8.0000
165.6750 48.8000 9.6000
40.7644 26.2000 1.6000
40.1959 23.8000 1.6000
169.2940 49.0000 9.8000
53.7512 32.0000 2.4000
123.4310 45.8000 6.8000
62.5342 34.6000 3.0000
132.3960 47.0000 7.4000
44.2389 26.6000 1.8000
91.1609 41.2000 4.8000
126.1030 46.0000 7.0000
116.3180 45.4000 6.4000
65.3406 36.0000 3.2000
56.7458 34.2000 2.6000
44.1376 26.4000 1.8000
66.5447 37.2000 3.2000
40.3537 24.4000 1.6000
94.2853 41.6000 5.0000
94.3313 41.8000 5.0000
144.5240 48.4000 8.2000
70.1789 36.2000 3.4000
94.0530 40.0000 5.0000
51.7690 30.8000 2.3000
31.5028 20.8000 1.0000
84.9093 38.2000 4.4000
113.7030 46.2000 6.2000
59.9384 34.4000 2.8000
43.3588 24.8000 1.8000
100.3120 44.0000 5.4000
50.5505 28.8000 2.2000
163.5890 49.0000 9.4000
150.0210 48.2000 8.6000
43.5243 25.2000 1.8000
97.4536 42.4000 5.2000
141.4720 47.6000 8.0000
34.7760 21.4000 1.2000
59.5702 34.2000 2.8000
54.3247 31.2000 2.4000
94.4309 41.8000 5.0000
44.2022 26.6000 1.8000
151.3610 48.8000 8.6000
59.3370 32.6000 2.8000
40.4834 24.6000 1.6000
43.6441 25.8000 1.8000
34.6060 21.0000 1.2000
77.6363 36.4000 4.0000
91.4079 39.8000 4.8000
94.3069 41.2000 5.0000
106.4520 44.4000 5.8000
106.6070 45.2000 5.8000
59.4975 33.4000 2.8000
47.4199 27.6000 2.0000
43.5233 25.0000 1.8000
40.3574 24.4000 1.6000
37.5259 23.0000 1.4000
138.1670 47.4000 7.8000
40.2767 23.6000 1.6000
100.0950 43.6000 5.4000
77.8929 37.6000 4.0000
91.1496 38.4000 4.8000
56.1397 31.8000 2.6000
44.1376 26.4000 1.8000
37.1342 21.6000 1.4000
47.4403 27.8000 2.0000
144.5050 47.8000 8.2000
63.3406 36.0000 3.0000
56.1562 32.4000 2.6000
51.7690 30.8000 2.3000
143.7700 48.2000 8.2000
172.2330 49.0000 10.0000
107.1000 45.0000 5.8000
94.2181 41.8000 5.0000
34.7760 21.4000 1.2000
88.1348 38.2000 4.6000
59.3316 32.6000 2.8000
44.4284 27.6000 1.8000
31.3096 20.8000 1.0000
143.3830 47.8000 8.2000
59.5636 34.2000 2.8000
37.2390 21.6000 1.4000
44.1885 26.6000 1.8000
50.9893 28.6000 2.2000
84.9303 37.8000 4.4000
40.4834 24.6000 1.6000
82.4264 37.4000 4.4000
43.6441 25.8000 1.8000
141.4720 47.6000 8.0000
50.8073 28.2000 2.2000
91.4079 39.8000 4.8000
91.1496 38.4000 4.8000
131.8160 47.2000 7.4000
50.9002 28.4000 2.2000
56.1292 31.8000 2.6000
100.3590 43.0000 5.4000
40.1959 23.8000 1.6000
148.1050 48.8000 8.4000
94.1824 41.2000 5.0000
56.1115 31.0000 2.6000
37.5259 23.0000 1.4000
40.3902 24.0000 1.6000
77.8929 37.2000 4.0000
69.3316 34.8000 3.4000
110.3590 45.8000 6.0000
66.7290 34.6000 3.2000
43.5258 25.2000 1.8000
109.7360 45.2000 6.0000
69.7759 36.4000 3.4000
56.1562 32.4000 2.6000
100.4500 44.0000 5.4000
131.9350 46.8000 7.4000
51.7690 30.8000 2.3000
78.4617 38.4000 4.0000
103.8500 44.6000 5.6000
128.5350 45.8000 7.4000
75.5520 37.0000 3.8000
91.6117 40.0000 4.8000
151.6180 48.6000 8.6000
43.5258 25.2000 1.8000
65.5982 35.6000 3.2000
43.3585 24.8000 1.8000
40.4834 24.6000 1.6000
141.7520 48.0000 8.0000
97.7125 41.8000 5.2000
141.7910 48.2000 8.0000
34.7760 21.4000 1.2000
40.3902 24.0000 1.6000
94.3567 41.6000 5.0000
131.5110 46.4000 7.4000
59.9384 34.4000 2.8000
65.3776 35.4000 3.2000
47.4403 27.8000 2.0000
56.7458 34.2000 2.6000
66.9537 36.4000 3.2000
131.4600 46.0000 7.6000
168.2490 48.8000 9.8000
44.2022 26.6000 1.8000
62.5337 34.6000 3.0000
135.4280 47.4000 7.6000
191.9300 49.0000 11.4000
50.8521 28.4000 2.2000
37.1614 21.6000 1.4000
100.6910 42.8000 5.4000
40.2764 23.6000 1.6000
31.3096 20.8000 1.0000
113.8950 45.2000 6.2000
43.6441 25.8000 1.8000
37.5259 23.0000 1.4000
53.7248 32.6000 2.4000
51.7690 30.8000 2.3000
112.7670 45.8000 6.2000
159.3090 48.8000 9.2000
79.7539 40.0000 4.0000
40.4834 24.6000 1.6000
31.3096 20.8000 1.0000
138.2030 47.4000 7.8000
138.3980 47.8000 7.8000
63.0917 36.0000 3.0000
53.7248 32.6000 2.4000
106.9940 44.8000 5.8000
37.2390 21.6000 1.4000
151.3290 48.4000 8.8000
56.7458 34.2000 2.6000
72.7409 36.4000 3.6000
107.1670 45.2000 5.8000
40.3651 24.0000 1.6000
34.7760 21.4000 1.2000
97.1090 43.2000 5.2000
59.9384 34.4000 2.8000
159.0410 48.6000 9.2000
47.4403 27.8000 2.0000
43.6441 25.8000 1.8000
162.9570 49.0000 9.4000
94.1824 41.2000 5.0000
103.2620 43.8000 5.6000
107.0870 45.0000 5.8000
149.2790 48.2000 8.6000
137.5330 46.8000 7.8000
43.5258 25.2000 1.8000
141.7520 48.0000 8.0000
37.5259 23.0000 1.4000
73.3484 38.6000 3.6000
135.8570 46.4000 7.6000
50.7739 28.4000 2.2000
134.4230 46.0000 7.6000
44.1885 26.6000 1.8000
113.5900 46.2000 6.2000
31.3387 20.6000 1.0000
51.7690 30.8000 2.3000
72.3228 35.4000 3.6000
37.3752 22.2000 1.4000
34.7760 21.4000 1.2000
168.3230 49.0000 9.8000
77.8929 37.6000 4.0000
56.7244 31.4000 2.6000
94.0540 40.0000 5.0000
37.2956 22.0000 1.4000
72.7151 36.4000 3.6000
40.4800 24.6000 1.6000
151.3610 48.8000 8.6000
141.5140 48.0000 8.0000
59.5312 33.4000 2.8000
94.4891 41.8000 5.0000
56.0984 31.0000 2.6000
134.9950 47.4000 7.6000
94.3069 41.2000 5.0000
72.5233 36.0000 3.6000
62.6030 34.4000 3.0000
44.1479 26.4000 1.8000
91.3974 39.8000 4.8000
43.6435 25.8000 1.8000
47.4759 28.4000 2.0000
144.0750 48.4000 8.2000
56.8985 32.2000 2.6000
59.5702 34.2000 2.8000
141.3410 47.6000 8.0000
31.5028 20.8000 1.0000
78.4626 38.4000 4.0000
106.6070 45.2000 5.8000
59.3264 32.6000 2.8000
100.3580 43.8000 5.4000
97.1090 43.2000 5.2000
44.1885 26.6000 1.8000
40.3574 24.4000 1.6000
131.5060 46.6000 7.4000
43.4395 25.6000 1.8000
37.1305 21.6000 1.4000
40.2352 23.2000 1.6000
40.2834 23.4000 1.6000
77.6972 37.0000 4.0000
34.6704 21.0000 1.2000
66.0321 34.8000 3.2000
37.5137 23.0000 1.4000
59.5702 34.2000 2.8000
51.7690 30.8000 2.3000
91.7172 40.0000 4.8000
126.8080 45.4000 7.0000
50.5505 28.8000 2.2000
110.7870 44.6000 6.0000
40.7644 26.2000 1.6000
56.1115 31.0000 2.6000
31.5028 20.8000 1.0000
40.2164 23.8000 1.6000
56.7244 31.4000 2.6000
56.9113 32.2000 2.6000
137.8640 47.2000 7.8000
40.4834 24.6000 1.6000
128.4710 45.8000 7.2000
100.3120 44.0000 5.4000
72.7151 36.4000 3.6000
134.9170 46.8000 7.6000
84.9303 37.8000 4.4000
100.1580 43.2000 5.4000
96.8077 41.2000 5.2000
97.6095 41.8000 5.2000
113.1150 45.2000 6.2000
34.6399 21.0000 1.2000
44.2252 26.6000 1.8000
134.8590 46.4000 7.6000
97.3732 41.4000 5.2000
40.3908 24.0000 1.6000
37.1305 21.6000 1.4000
91.4079 39.8000 4.8000
168.5150 49.0000 9.8000
46.6374 27.8000 2.0000
110.7210 44.4000 6.0000
143.7700 48.2000 8.2000
37.5259 23.0000 1.4000
62.6030 34.4000 3.0000
59.3264 32.6000 2.8000
70.1789 36.2000 3.4000
65.3379 36.0000 3.2000
141.7570 47.6000 8.0000
129.0500 46.2000 7.2000
85.0796 38.6000 4.4000
44.1516 26.4000 1.8000
75.5754 37.4000 3.8000
59.5439 33.8000 2.8000
147.8840 48.8000 8.4000
34.6107 21.2000 1.2000
46.6374 27.8000 2.0000
51.7690 30.8000 2.3000
56.1562 32.4000 2.6000
62.5991 34.4000 3.0000
34.7760 21.4000 1.2000
37.1342 21.6000 1.4000
84.9303 37.8000 4.4000
94.5629 40.6000 5.0000
134.7670 45.6000 7.6000
40.4924 24.6000 1.6000
97.6095 41.8000 5.2000
44.1376 26.4000 1.8000
141.3780 48.2000 8.0000
75.4722 37.0000 3.8000
169.0860 49.0000 9.8000
137.0070 46.6000 7.8000
97.8585 42.0000 5.2000
31.5028 20.8000 1.0000
88.0893 38.4000 4.6000
165.5860 48.8000 9.6000
59.5499 33.8000 2.8000
122.3900 45.4000 6.8000
103.5910 43.0000 5.6000
103.7310 44.4000 5.6000
40.3537 24.4000 1.6000
141.7590 48.4000 8.0000
59.3487 32.6000 2.8000
37.7966 24.2000 1.4000
40.7644 26.2000 1.6000
37.5259 23.0000 1.4000
