[INFO] Cantidad de iteraciones 1500000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 8388608
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 4194304 bits GPU memory for prob_vector 0 (size: 4194304 / 16 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 131072 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 131072 / 0 Mb)
iter,f1,f2,avg f1 f2
0,0,0,0.0000,0.0000
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 4194304 bits GPU memory for prob_vector 1 (size: 4194304 / 16 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 131072 / 0 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 131072 / 0 Mb)
iter,f1,f2,avg f1 f2
1050000,5447948,5448486,5448217.0000,532052.4375
1060000,5460011,5460266,5460138.5000,533216.6250
1070000,5470772,5468622,5469697.0000,534150.1250
1080000,5478543,5477658,5478100.5000,534970.7500
1090000,5488598,5489816,5489207.0000,536055.3750
1100000,5498559,5498908,5498733.5000,536985.6875
1110000,5508946,5509493,5509219.5000,538009.6875
1120000,5518334,5518762,5518548.0000,538920.6875
1130000,5527583,5529487,5528535.0000,539896.0000
1140000,5536878,5537901,5537389.5000,540760.6875
1150000,5548808,5548489,5548648.5000,541860.1875
1160000,5556959,5557311,5557135.0000,542688.9375
1170000,5567906,5566085,5566995.5000,543651.8750
1180000,5576480,5575717,5576098.5000,544540.8750
1190000,5585505,5586643,5586074.0000,545515.0625
1200000,5596136,5594538,5595337.0000,546419.6250
1210000,5605517,5604792,5605154.5000,547378.3750
1220000,5614061,5614552,5614306.5000,548272.1250
1230000,5625055,5623678,5624366.5000,549254.5625
1240000,5633727,5633290,5633508.5000,550147.3125
1250000,5643115,5643328,5643221.5000,551095.8750
1260000,5653368,5651490,5652429.0000,551995.0000
1270000,5662287,5661808,5662047.5000,552934.3125
1280000,5672261,5671179,5671720.0000,553878.8750
1290000,5680385,5680222,5680303.5000,554717.1250
1300000,5690446,5689641,5690043.5000,555668.3125
1310000,5699251,5699791,5699521.0000,556593.8750
1320000,5708801,5708827,5708814.0000,557501.3750
1330000,5717390,5717167,5717278.5000,558328.0000
1340000,5726184,5727462,5726823.0000,559260.0625
1350000,5735545,5736665,5736105.0000,560166.5000
1360000,5745217,5745452,5745334.5000,561067.8125
1370000,5754106,5754852,5754479.0000,561960.8125
1380000,5762758,5763678,5763218.0000,562814.2500
1390000,5772426,5771864,5772145.0000,563686.0625
1400000,5781286,5781376,5781331.0000,564583.1250
1410000,5790903,5790261,5790582.0000,565486.5000
1420000,5798960,5799260,5799110.0000,566319.3125
1430000,5808247,5807880,5808063.5000,567193.6875
1440000,5816597,5817434,5817015.5000,568067.9375
1450000,5825617,5826164,5825890.5000,568934.6250
1460000,5834592,5834986,5834789.0000,569803.6250
1470000,5843728,5843043,5843385.5000,570643.1250
1480000,5852559,5851872,5852215.5000,571505.4375
1490000,5860755,5860687,5860721.0000,572336.0625
>>>>
iter,avg. prob., abs. value,abs. improv.,gt 75,gt 50,lt 50,lt 25
1500000,69.9745,6010763846,2722827,2894495,1299042,1096004
